state_abbrev,fips,total_pop_20,activeaug19,activesep19,activeoct19,activenov19,activedec19,activejan20,activefeb20,activemar20,activeapr20,activemay20,activejun20,activejul20,activeaug20,activesep20,activeoct20,activenov20,activedec20,activejan21,activefeb21,activemar21,activeapr21,activemay21,activejun21,activejul21,activeaug21,activesep21,activeoct21,activenov21,activedec21,activejan22,activefeb22,activemar22,activeapr22,activemay22,activejun22,mdaug19,mdsep19,mdoct19,mdnov19,mddec19,mdjan20,mdfeb20,mdmar20,mdapr20,mdmay20,mdjun20,mdjul20,mdaug20,mdsep20,mdoct20,mdnov20,mddec20,mdjan21,mdfeb21,mdmar21,mdapr21,mdmay21,mdjun21,mdjul21,mdaug21,mdsep21,mdoct21,mdnov21,mddec21,mdjan22,mdfeb22,mdmar22,mdapr22,mdmay22,mdjun22
NJ,34,9288994,586824,585836,589811,589813,587706,587612,579680,585285,587788,591289,599375,601793,610921,612096,611817,611504,608341,554254,557993,558942,565194,563853,562285,559151,550269,551531,554057,554469,553526,551452,551922,551105,592789,596990,609796,6.3174119,6.3067756,6.3495679,6.3495898,6.3269067,6.3258948,6.2405033,6.3008437,6.3277898,6.3654795,6.4525285,6.4785595,6.5768261,6.5894756,6.586472,6.5831027,6.5490513,5.9667816,6.0070338,6.0172501,6.0845556,6.0701189,6.0532389,6.0195003,5.9238815,5.9374676,5.9646611,5.9690962,5.9589443,5.9366169,5.9416766,5.9328814,6.3816276,6.4268532,6.5647154
NM,35,2117522,74042,73802,73916,73829,73620,73671,72538,73306,74001,74128,74582,75074,74970,74913,74659,74507,73866,67060,67315,67305,67786,67364,67200,66874,66492,66433,67140,67261,67072,66975,66943,66698,73592,73881,72228,3.4966342,3.4853003,3.490684,3.4865754,3.4767053,3.4791138,3.4256079,3.4618766,3.494698,3.5006957,3.5221357,3.5453706,3.5404592,3.5377672,3.5257721,3.5185938,3.4883227,3.1669092,3.1789517,3.1784794,3.2011945,3.1812656,3.1735208,3.1581254,3.1400855,3.1372991,3.1706872,3.1764014,3.1674759,3.1628952,3.1613839,3.1498139,3.475383,3.4890311,3.4109681
NV,32,3104614,420403,417827,423326,426521,432477,435914,428459,433865,433930,434002,437533,444442,447239,446975,445275,447327,451293,422696,430621,444037,471910,473532,474444,474461,477365,479063,480053,488216,488372,490812,489950,489093,401075,408002,385062,13.541232,13.45826,13.635383,13.738294,13.930138,14.040844,13.800717,13.974845,13.976939,13.979258,14.092992,14.315532,14.405623,14.39712,14.342362,14.408458,14.536203,13.61509,13.870356,14.302486,15.200279,15.252524,15.281899,15.282448,15.375985,15.430678,15.462566,15.725497,15.730522,15.809115,15.78135,15.753746,12.918675,13.141795,12.402895
NY,36,20201248,1419597,1423873,1429706,1427028,1421399,1424591,1407255,1425882,1443160,1445932,1455567,1461552,1460634,1469139,1465660,1456166,1456658,1342499,1350051,1356598,1370405,1363555,1353011,1349826,1339801,1341426,1351367,1355328,1354200,1348351,1353312,1349407,1448259,1455955,1481651,7.0272737,7.0484409,7.0773153,7.0640588,7.0361938,7.0519948,6.9661784,7.0583858,7.1439152,7.1576371,7.2053323,7.2349591,7.2304149,7.2725163,7.2552943,7.2082973,7.2107329,6.6456242,6.6830077,6.7154169,6.7837639,6.749855,6.6976604,6.6818943,6.6322684,6.6403127,6.6895223,6.7091303,6.703546,6.6745925,6.6991506,6.6798201,7.1691561,7.2072525,7.3344526
OH,39,11799448,438103,437468,439105,438395,437961,439415,434159,439270,440142,441906,444058,446657,446489,446193,445354,443954,442407,404750,407310,407877,412688,412134,412293,412151,410236,410415,412870,414567,413568,412531,413839,412475,454639,456828,438456,3.7129109,3.7075293,3.7214029,3.7153857,3.7117076,3.7240303,3.6794858,3.7228012,3.7301915,3.7451413,3.7633793,3.7854059,3.783982,3.7814734,3.774363,3.7624981,3.7493873,3.4302452,3.4519413,3.4567463,3.4975195,3.4928243,3.4941719,3.4929686,3.4767389,3.478256,3.4990621,3.5134439,3.5049775,3.4961889,3.5072742,3.4957144,3.8530531,3.8716049,3.7159026
OK,40,3959353,186203,186952,186692,189127,189142,191184,190150,191351,193071,194537,197433,199315,201834,202219,201051,202964,202462,191987,194935,198216,204758,205116,205177,205758,206063,206523,208312,210694,211654,212734,214205,214439,229217,232805,187101,4.7028642,4.7217817,4.7152147,4.7767148,4.7770934,4.8286676,4.8025522,4.8328857,4.876327,4.9133534,4.9864964,5.0340295,5.097651,5.1073747,5.0778751,5.1261911,5.113512,4.848949,4.9234056,5.0062723,5.1715016,5.1805434,5.1820841,5.1967583,5.2044616,5.2160797,5.2612638,5.321425,5.3456712,5.3729486,5.4101009,5.4160113,5.7892542,5.8798747,4.7255449
OR,41,4237256,273480,273301,280732,273451,272391,272325,267998,271158,272017,272466,273179,274565,273090,274570,273945,272502,271807,249173,250795,249809,250640,249769,248898,248151,246513,246141,246997,247556,247510,246658,246778,245821,264981,267244,265082,6.4541769,6.4499526,6.6253257,6.4534926,6.4284763,6.4269185,6.324801,6.3993773,6.4196501,6.4302464,6.4470735,6.4797831,6.444973,6.4799013,6.4651508,6.4310961,6.4146938,5.8805275,5.918807,5.8955369,5.9151487,5.8945932,5.8740373,5.8564081,5.8177509,5.8089719,5.8291736,5.8423657,5.8412805,5.8211727,5.8240051,5.8014197,6.2535992,6.3070064,6.2559829
PA,42,13002700,551907,551404,555375,554380,553964,554482,546816,554249,558014,560788,562654,567501,568561,567625,566600,566671,566765,522368,528303,532341,540861,542656,543885,546202,546172,552704,564937,564940,566086,563655,568567,564793,610010,619698,566848,4.2445569,4.2406883,4.2712283,4.263576,4.2603765,4.2643604,4.2054033,4.2625685,4.2915239,4.3128581,4.327209,4.3644857,4.3726382,4.3654394,4.3575563,4.3581023,4.3588257,4.0173812,4.0630255,4.0940804,4.1596055,4.1734099,4.1828618,4.2006812,4.2004509,4.2506862,4.3447671,4.34479,4.3536034,4.3349075,4.372684,4.3436594,4.6914101,4.7659178,4.3594637
RI,44,1097379,50078,50356,50469,50417,50417,50561,49260,50379,50609,50738,51031,51206,51248,51138,50966,50833,50829,45687,45888,46004,46415,46053,45847,45927,45833,45841,46027,45936,46000,45924,46037,45902,50526,50635,54801,4.5634189,4.5887518,4.5990491,4.5943108,4.5943108,4.6074328,4.4888778,4.590848,4.6118069,4.6235623,4.6502624,4.6662092,4.6700363,4.6600127,4.6443391,4.6322193,4.6318545,4.1632838,4.1816001,4.1921706,4.2296233,4.1966357,4.1778636,4.185154,4.1765881,4.1773171,4.1942663,4.1859741,4.1918063,4.1848807,4.1951776,4.1828756,4.6042433,4.6141763,4.9938078
SC,45,5118425,204383,203946,205786,205709,205363,207009,204837,207208,207522,207759,209782,211237,212049,212141,211001,210915,209434,192673,195121,195058,196712,195774,195362,194568,193023,193139,193946,194380,194341,194336,194542,194103,221799,223814,223001,3.9930837,3.9845459,4.0204945,4.01899,4.0122304,4.0443888,4.0019536,4.0482764,4.0544114,4.0590415,4.0985656,4.1269922,4.1428566,4.1446538,4.1223812,4.1207013,4.0917664,3.7643025,3.8121297,3.8108988,3.8432136,3.8248875,3.8168383,3.8013256,3.7711406,3.7734067,3.7891734,3.7976525,3.7968907,3.796793,3.8008177,3.7922409,4.3333449,4.3727121,4.3568287
SD,46,886667,65179,65326,65947,66015,65826,65712,65455,65809,65898,65903,66109,66147,66140,66059,66267,66105,65953,64897,65175,65097,65324,65207,65137,65050,64967,65354,65487,65654,65611,66024,66149,66143,70403,70590,55838,7.3510122,7.3675914,7.4376287,7.4452977,7.4239821,7.4111252,7.3821402,7.4220648,7.4321027,7.4326663,7.4558992,7.4601851,7.4593959,7.4502602,7.4737191,7.4554482,7.4383054,7.3192077,7.3505611,7.341764,7.3673658,7.3541703,7.3462753,7.3364635,7.3271027,7.370749,7.3857493,7.4045835,7.399734,7.4463129,7.4604106,7.459734,7.9401851,7.9612751,6.2975163
TN,47,6910840,321063,321425,323483,322985,321064,321971,318311,321656,323168,324279,326922,329569,331140,330512,330455,330397,330353,305410,308779,310539,313722,312646,312280,312276,311654,311919,314560,315823,315800,316385,318072,317696,350436,356235,352286,4.6457882,4.6510267,4.6808057,4.6735997,4.645803,4.658927,4.605967,4.6543689,4.6762476,4.6923242,4.7305684,4.7688704,4.7916026,4.7825155,4.7816906,4.7808514,4.7802148,4.4192891,4.4680386,4.493506,4.5395641,4.523994,4.5186982,4.5186405,4.5096397,4.5134745,4.5516896,4.5699654,4.5696325,4.5780978,4.6025085,4.5970678,5.0708165,5.1547279,5.0975857
