constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
Watford,2291,1564,1594,1464,1573,1541,2382,2257,1388,2447,1568,1572,1576,114037,Dean Russell,Conservative,1.979182243,2.008996964,2.145794868,2.088795662,1.351315856,1.371484637,1.382007599,1.378499985,1.374992371,1.397791982,1.379376888,1.283793807,1.217148781
Waveney,535,394,397,376,389,395,560,556,356,568,400,396,394,102456,Peter Aldous,Conservative,0.542671978,0.522175372,0.554384351,0.546576083,0.385531336,0.38455531,0.38455531,0.386507392,0.390411496,0.387483418,0.37967518,0.366986811,0.34746623
Wealden,1647,1262,1301,1208,1300,1260,1702,1618,1174,1745,1288,1282,1282,101311,Ms Nusrat Ghani,Conservative,1.597062469,1.625687242,1.722419143,1.67997551,1.24369514,1.245669246,1.265410423,1.265410423,1.27133286,1.284164548,1.283177495,1.192368031,1.158807993
Weaver Vale,847,646,643,578,639,642,898,828,572,926,651,655,648,88055,Mike Amesbury,Labour,0.940321386,0.961898804,1.051615477,1.019817114,0.729089797,0.733632386,0.73590368,0.743853271,0.739310682,0.730225444,0.725682795,0.656407952,0.649594009
Wellingborough,936,656,651,586,649,648,977,940,559,1024,651,659,669,106156,Mr Peter Bone,Conservative,0.885489285,0.881721258,0.964618087,0.920343637,0.610422373,0.617958486,0.630204618,0.620784521,0.613248408,0.613248408,0.611364424,0.552017808,0.526583493
Wells,1017,775,812,772,815,772,1055,1007,749,1102,806,813,801,103389,James Heappey,Conservative,0.973991454,0.983663619,1.065877438,1.020418048,0.746694505,0.749596179,0.774743915,0.786350608,0.779580057,0.785383344,0.788285017,0.746694505,0.724448442
Welwyn Hatfield,1781,1283,1344,1195,1311,1294,1870,1786,1157,1945,1324,1330,1312,105353,Grant Shapps,Conservative,1.695253134,1.690507174,1.84617424,1.774985075,1.228251696,1.217810631,1.245337129,1.262422562,1.256727338,1.275711179,1.244387865,1.134281874,1.098212719
Wentworth and Dearne,440,351,315,260,291,347,472,446,262,488,336,342,353,95466,John Healey,Labour,0.46718204,0.460897088,0.511176765,0.494416863,0.363480181,0.367670178,0.369765162,0.35824272,0.351957768,0.329960406,0.304820567,0.272348285,0.274443269
West Aberdeenshire and Kincardine,896,660,651,600,646,652,935,911,580,973,671,677,668,91192,Andrew Bowie,Conservative,0.998991132,0.982542336,1.066979527,1.025309205,0.714974999,0.723747671,0.732520401,0.742389679,0.735810161,0.713878393,0.708395481,0.657952428,0.63602072
West Bromwich East,657,551,474,449,480,539,756,640,439,749,490,567,570,87998,Nicola Richards,Conservative,0.727289259,0.7466079,0.851155698,0.859110415,0.6125139,0.626150608,0.647741973,0.644332826,0.556830823,0.538648605,0.545466959,0.510238886,0.498874962
West Bromwich West,605,527,617,634,626,408,597,677,647,654,615,610,580,89950,Shaun Bailey,Conservative,0.752640367,0.672595859,0.72707057,0.663702071,0.453585327,0.585881054,0.64480269,0.678154528,0.683713198,0.68593663,0.695942163,0.704836011,0.719288468
