constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
Arundel and South Downs,1515,1134,1138,1046,1131,1127,1575,1527,1021,1637,1138,1173,1164,97327,Andrew Griffith,Conservative,1.568937659,1.556608081,1.681958795,1.618255973,1.15795207,1.165144324,1.19596827,1.205215454,1.169254184,1.169254184,1.16206193,1.074727416,1.049040914
Ashfield,540,397,435,390,429,401,556,559,369,580,428,427,418,101912,Lee Anderson,Conservative,0.548512459,0.529868901,0.56911844,0.545568705,0.393476725,0.389551759,0.41015777,0.418988943,0.419970185,0.426838845,0.420951396,0.382683098,0.362077087
Ashford,1528,1164,1165,1059,1155,1164,1602,1509,1027,1659,1147,1154,1169,112896,Damian Green,Conservative,1.336628437,1.353458047,1.469494104,1.419005156,1.03103745,1.03103745,1.035466313,1.022179723,1.01597929,1.031923175,1.023065448,0.938031435,0.909686804
Ashton-under-Lyne,510,365,388,361,386,374,540,535,345,577,381,374,376,90799,Angela Rayner,Labour,0.58921355,0.561680198,0.635469556,0.594720185,0.411898822,0.401986808,0.414101481,0.411898822,0.419608146,0.42731747,0.42511481,0.397581458,0.37996012
Aylesbury,1579,1120,1123,1058,1130,1125,1637,1577,1073,1737,1126,1126,1124,107943,Rob Butler,Conservative,1.460956216,1.462809086,1.609182596,1.516541123,1.042216778,1.037584662,1.041290283,1.043143153,1.043143153,1.040363908,1.046848774,0.980146945,0.994043171
"Ayr, Carrick and Cumnock",429,334,339,326,349,320,450,447,310,471,340,348,358,93112,Allan Dorans,Scottish National Party,0.480067015,0.46073547,0.505842447,0.483288944,0.343672127,0.358707786,0.384483188,0.373743445,0.365151644,0.364077657,0.374817431,0.350115985,0.332932383
Banbury,1570,1141,1152,1048,1162,1157,1654,1571,1016,1731,1162,1164,1140,117914,Victoria Prentis,Conservative,1.332327008,1.331478834,1.468019009,1.402717233,0.981223583,0.967654407,0.966806293,0.987160146,0.985463977,0.976983249,0.985463977,0.888783336,0.861644924
Banff and Buchan,410,284,296,275,290,279,430,418,263,449,290,293,287,91173,David Duguid,Conservative,0.458469063,0.449694544,0.492470354,0.471630841,0.306011647,0.311495721,0.314786166,0.321367085,0.318076611,0.32465753,0.318076611,0.301624388,0.288462579
Barking,2057,1561,1617,1475,1602,1540,2269,2045,1404,2211,1607,1643,1639,122539,Dame Margaret Hodge,Labour,1.668856502,1.678649187,1.804323554,1.851655364,1.256742716,1.273880124,1.337533355,1.340797663,1.311419249,1.31957984,1.307338834,1.203698397,1.145757675
Barnsley Central,561,437,419,394,415,431,578,548,384,604,416,416,429,85745,Dan Jarvis,Labour,0.639104307,0.654265583,0.704414248,0.674091756,0.502653241,0.509650707,0.500320733,0.485159487,0.485159487,0.48865822,0.483993232,0.459502012,0.447839528
Barnsley East,512,373,375,242,369,387,534,374,231,558,366,372,381,90363,Stephanie Peacock,Labour,0.413886219,0.566603601,0.617509365,0.590949833,0.428272635,0.41277957,0.421632737,0.41167292,0.405033022,0.414992869,0.408352971,0.267808735,0.255635589
Barrow and Furness,755,584,558,387,562,604,777,779,368,797,545,559,583,88823,Simon Fell,Conservative,0.877025068,0.85000509,0.897290111,0.874773443,0.68000406,0.657487333,0.65636152,0.629341483,0.61357981,0.628215671,0.63271898,0.435697973,0.414307117
Basildon and Billericay,1264,872,943,812,911,899,1300,1263,801,1341,947,922,896,89675,Mr John Baron,Conservative,1.408419251,1.409534454,1.495400071,1.449679375,1.002509117,0.972400308,0.999163628,1.028157234,1.056035638,1.051575184,1.015890718,0.905492067,0.893225551
Basingstoke,1383,1027,1004,898,992,1035,1471,1394,880,1530,1008,1011,1023,107971,Mrs Maria Miller,Conservative,1.291087389,1.280899525,1.417047143,1.362402916,0.958590746,0.951181352,0.947476625,0.936362565,0.933584034,0.929879308,0.918765247,0.831704795,0.815033674
Bassetlaw,606,466,505,462,493,462,642,627,445,659,493,477,479,103826,Brendan Clarke-Smith,Conservative,0.603894949,0.583668828,0.634715796,0.618342221,0.444975257,0.448827833,0.461348802,0.459422499,0.474832892,0.48639068,0.474832892,0.444975257,0.428601712
Bath,1770,1333,1329,1217,1317,1330,1822,1775,1169,1884,1325,1336,1338,88852,Wera Hobhouse,Liberal Democrat,1.997704029,1.992076755,2.120379925,2.050601006,1.496871233,1.500247598,1.505874991,1.503623962,1.491243839,1.495745778,1.482240081,1.369693398,1.315670967
Batley and Spen,722,547,589,576,586,543,771,729,543,791,579,570,588,108089,Kim Leadbeater,Labour,0.674444199,0.667968035,0.731804371,0.713301063,0.502363801,0.506064475,0.543996155,0.527343214,0.535669684,0.544921339,0.542145848,0.532894194,0.502363801
Battersea,4168,2937,2954,2803,2953,2961,4320,4217,2734,4424,2932,2933,2971,106560,Marsha De Cordova,Labour,3.957394838,3.911411524,4.151651859,4.05405426,2.778716326,2.756193638,2.788100719,2.752439976,2.75150156,2.772147179,2.771208763,2.630442858,2.565690756
Beaconsfield,2474,1705,1745,1492,1736,1693,2577,2472,1456,2639,1757,1741,1719,99350,Joy Morrissey,Conservative,2.488173008,2.490186214,2.656265736,2.593860149,1.704076529,1.716155052,1.730246544,1.752390504,1.768495202,1.756416678,1.747357845,1.501761436,1.465525866
Beckenham,1535,1136,1129,1066,1120,1125,1611,1552,1021,1679,1142,1134,1156,86930,Bob Stewart,Conservative,1.785344481,1.765788555,1.931439042,1.853215218,1.29414475,1.306798577,1.329805613,1.304497838,1.313700676,1.298746109,1.288392901,1.226274014,1.174508214
Bedford,1088,831,825,771,844,799,1164,1088,757,1183,833,836,831,101044,Mohammad Yasin,Labour,1.076758623,1.076758623,1.170777082,1.151973367,0.790744603,0.822413981,0.822413981,0.827362359,0.824393332,0.816475987,0.835279703,0.763033926,0.749178588
Bermondsey and Old Southwark,5523,3967,4051,3823,4178,3988,5827,5658,3690,5891,4023,4027,4015,126567,Neil Coyle,Labour,4.470359802,4.363696575,4.654451847,4.603885651,3.150900364,3.134308338,3.172232866,3.181714058,3.178553581,3.200676203,3.301018476,3.020534515,2.915452003
Berwick-upon-Tweed,442,318,342,291,337,321,473,461,282,491,341,342,338,75700,Anne-Marie Trevelyan,Conservative,0.608982801,0.583883762,0.648612916,0.624834895,0.424042284,0.420079261,0.446499348,0.451783359,0.450462341,0.451783359,0.44517833,0.38441214,0.372523129
"Berwickshire, Roxburgh and Selkirk",624,474,454,432,460,479,651,642,418,669,455,462,472,94563,John Lamont,Conservative,0.678912461,0.659877539,0.707464874,0.688429952,0.506540596,0.501253128,0.499138147,0.48856318,0.4811607,0.480103225,0.486448199,0.45683831,0.44203335
Bethnal Green and Bow,5019,3766,3840,3534,3791,3722,5262,5036,3400,5319,3824,3849,3820,125310,Rushanara Ali,Labour,4.01883316,4.005267143,4.244673252,4.199185848,2.970233917,3.005346775,3.04843998,3.071582556,3.051631927,3.064400196,3.025297165,2.820205927,2.713271141
Beverley and Holderness,713,515,527,511,537,513,737,693,487,766,544,545,536,99757,Graham Stuart,Conservative,0.694688082,0.714736819,0.767865896,0.73879528,0.514249623,0.516254485,0.537305653,0.546327591,0.54532516,0.528283715,0.538308084,0.512244761,0.4881863
Bexhill and Battle,1207,865,873,805,855,887,1249,1194,766,1294,875,891,891,100849,Huw Merriman,Conservative,1.183948278,1.196838856,1.283106446,1.238485217,0.879532754,0.857717991,0.883499086,0.883499086,0.86763376,0.865650654,0.847802162,0.798223078,0.759551406
Bexleyheath and Crayford,1157,845,876,794,871,820,1199,1166,760,1251,858,869,853,87714,Sir David Evennett,Conservative,1.329320312,1.31905973,1.426226139,1.366942525,0.934856474,0.963358164,0.972478747,0.990719855,0.978179097,0.998700321,0.992999971,0.905214667,0.866452336
Birkenhead,704,527,520,469,499,515,720,708,451,753,526,531,532,88913,Mick Whitley,Labour,0.79628402,0.79178524,0.846895278,0.809780359,0.579217911,0.59271425,0.59833771,0.59721303,0.59158951,0.584841371,0.561222792,0.527481914,0.507237434
"Birmingham, Edgbaston",1326,906,927,865,906,905,1390,1311,832,1419,926,923,923,96902,Preet Kaur Gill,Labour (Co-op),1.35291326,1.368392825,1.464366078,1.434438944,0.933933258,0.934965193,0.952508748,0.952508748,0.955604613,0.956636608,0.934965193,0.892654419,0.858599424
"Birmingham, Erdington",730,522,516,488,521,502,757,721,476,782,504,517,526,97748,Jack Dromey,Labour,0.737610996,0.746818364,0.800016344,0.774440408,0.513565481,0.534026265,0.538118422,0.528911054,0.515611589,0.52788806,0.533003211,0.499242961,0.486966491
"Birmingham, Hall Green",1461,1021,923,825,913,1045,1532,1239,779,1556,928,985,1012,115436,Tahir Ali,Labour,1.073322058,1.265636325,1.347933054,1.327142358,0.905263543,0.884472787,0.876676261,0.853286684,0.803908646,0.799577236,0.790914416,0.714681745,0.674832821
"Birmingham, Hodge Hill",755,552,536,510,543,553,814,762,464,855,525,540,553,121629,Liam Byrne,Labour,0.626495302,0.620740116,0.702957332,0.669248283,0.45466131,0.453839123,0.45466131,0.443973064,0.431640476,0.440684378,0.446439594,0.419307888,0.381487966
"Birmingham, Ladywood",2711,2675,2635,2191,2634,2644,3450,2711,2017,3589,2655,2627,2721,126527,Shabana Mahmood,Labour,2.14262557,2.14262557,2.836548805,2.726690769,2.089672565,2.114173174,2.150529146,2.076236725,2.098366261,2.082559347,2.08176899,1.73164618,1.594126105
"Birmingham, Northfield",753,610,620,529,605,616,823,728,510,836,635,627,626,101059,Gary Sambrook,Conservative,0.720371246,0.74510932,0.827239513,0.814375758,0.609544933,0.603607774,0.619440138,0.620429635,0.628345847,0.613502979,0.598660171,0.523456573,0.504655719
"Birmingham, Perry Barr",909,664,695,631,680,670,982,885,610,1010,682,694,704,107705,Mr Khalid Mahmood,Labour,0.82168889,0.843971968,0.937746644,0.911749661,0.622069538,0.616498768,0.65363723,0.644352615,0.633211076,0.645281076,0.631354153,0.585859537,0.566361845
"Birmingham, Selly Oak",834,634,615,564,602,630,873,831,553,893,636,648,644,104276,Steve McCabe,Labour,0.796923578,0.799800515,0.856381118,0.837201297,0.604165852,0.608001828,0.617591798,0.621427774,0.609919846,0.589780986,0.577314079,0.540872276,0.530323386
"Birmingham, Yardley",825,635,666,610,666,610,862,815,590,896,662,669,660,106702,Jess Phillips,Labour,0.763809502,0.773181379,0.839721859,0.807857394,0.571685612,0.595115364,0.618545115,0.626979828,0.620419502,0.624168217,0.624168217,0.571685612,0.552941859
Bishop Auckland,422,320,321,293,315,314,429,430,284,452,319,330,320,87129,Dehenna Davison,Conservative,0.493521094,0.484339327,0.518770993,0.492373377,0.36038518,0.367271513,0.367271513,0.378748745,0.366123796,0.36841923,0.361532897,0.336282969,0.325953484
Blackburn,826,586,620,584,644,585,867,829,559,900,607,603,595,107332,Kate Hollern,Labour,0.772369862,0.769574761,0.838519752,0.807774007,0.545037806,0.545969486,0.554354727,0.561808228,0.565534949,0.577646911,0.600007474,0.544106126,0.520813942
Blackley and Broughton,1909,1155,1124,1247,1150,1048,2024,2199,1016,2071,1135,1149,1173,111131,Graham Stringer,Labour,1.978745818,1.717792511,1.863566399,1.821274042,0.943031192,1.039313912,1.055511117,1.033914924,1.021317244,1.011418939,1.034814715,1.122099161,0.914236367
Blackpool North and Cleveleys,529,408,395,364,393,405,557,540,347,579,393,398,403,83582,Paul Maynard,Conservative,0.646072149,0.632911384,0.692732871,0.6664114,0.484554082,0.488143384,0.482161224,0.476179093,0.470196933,0.472589791,0.470196933,0.435500473,0.415161163
Blackpool South,615,446,406,362,406,422,635,614,348,653,432,439,437,81074,Scott Benton,Conservative,0.757332802,0.75856626,0.805437028,0.783235073,0.520512104,0.550114691,0.539013743,0.541480601,0.53284651,0.500777066,0.500777066,0.446505666,0.429237485
Blaenau Gwent,227,172,183,166,172,168,243,223,168,259,177,176,175,69792,Nick Smith,Labour,0.319520861,0.325252175,0.371102691,0.348177433,0.240715265,0.24644658,0.250745058,0.252177894,0.25361073,0.262207717,0.24644658,0.237849608,0.240715265
Blaydon,608,493,487,448,497,488,631,625,426,651,490,477,493,88203,Liz Twist,Labour,0.708592653,0.689318955,0.73807013,0.715395153,0.553269148,0.558937907,0.558937907,0.540797949,0.555536687,0.552135408,0.563472927,0.507919252,0.482976764
Blyth Valley,420,265,274,268,275,258,432,417,261,445,275,280,283,82174,Ian Levy,Conservative,0.50745976,0.511110544,0.541533828,0.525713742,0.313967913,0.32248643,0.344391167,0.340740383,0.334655732,0.333438814,0.334655732,0.326137215,0.317618698
Bognor Regis and Littlehampton,922,688,696,639,689,667,954,952,619,994,698,698,689,98458,Nick Gibb,Conservative,0.966909766,0.936439931,1.009567499,0.968941092,0.677446246,0.698775113,0.699790776,0.708931744,0.708931744,0.706900418,0.699790776,0.649007678,0.628694475
Bolsover,526,424,424,371,425,415,556,525,354,578,426,435,432,94306,Mark Fletcher,Conservative,0.556698382,0.557758808,0.612898409,0.589570105,0.440056831,0.44960025,0.458083272,0.461264402,0.451720983,0.44960025,0.450660616,0.393400222,0.375373781
Bolton North East,836,660,640,603,647,644,883,836,561,912,656,669,672,95235,Mark Logan,Conservative,0.877828538,0.877828538,0.957631111,0.927180111,0.676221967,0.693022549,0.705622911,0.702472806,0.688822389,0.672021866,0.679372072,0.633170605,0.589069128
Bolton South East,663,505,523,472,497,496,708,668,464,733,517,521,518,101628,Yasmin Qureshi,Labour,0.657299161,0.652379274,0.721257925,0.696658373,0.488054484,0.496910304,0.509702027,0.512654006,0.508718073,0.514621973,0.489038467,0.464438945,0.456567079
Bolton West,1043,824,863,758,870,822,1103,1024,746,1148,851,869,865,94792,Chris Green,Conservative,1.080259919,1.100303769,1.211072683,1.163600326,0.86716181,0.869271696,0.912524283,0.916744053,0.897755086,0.910414398,0.917798996,0.799645543,0.786986232
Bootle,499,413,446,436,441,399,553,490,411,562,451,424,420,98571,Peter Dowd,Labour,0.497103602,0.506234109,0.570147395,0.561016917,0.404784381,0.418987334,0.42608881,0.430146784,0.457538217,0.452465743,0.447393239,0.442320764,0.416958332
Boston and Skegness,521,385,385,341,383,383,546,500,319,559,389,392,397,101632,Matt Warman,Conservative,0.491971046,0.512633801,0.550023615,0.537232339,0.3768498,0.378817707,0.390625,0.385705292,0.382753462,0.378817707,0.3768498,0.335524231,0.313877523
Bosworth,827,623,661,559,653,622,870,837,538,899,659,655,646,98366,Dr Luke Evans,Conservative,0.850903749,0.840737641,0.913933694,0.884451926,0.632332325,0.633348942,0.656731009,0.665880501,0.669946909,0.671980143,0.663847268,0.568285763,0.546936929
Bournemouth East,1382,1043,1065,1004,1067,1018,1472,1396,950,1485,1060,1076,1083,102132,Mr Tobias Ellwood,Conservative,1.366858602,1.353150845,1.454000711,1.44127202,0.996749282,1.021227479,1.06039238,1.053538561,1.037872553,1.04276824,1.044726491,0.983041525,0.930168808
Bournemouth West,1541,1191,1186,1036,1158,1205,1669,1512,988,1658,1177,1191,1196,98968,Conor Burns,Conservative,1.527766585,1.557068944,1.675289035,1.686403632,1.217565298,1.203419328,1.208471417,1.203419328,1.189273357,1.198367119,1.170075178,1.046802998,0.99830246
Bracknell,1533,1057,1056,960,1036,1034,1595,1527,928,1662,1066,1081,1084,104861,James Sunderland,Conservative,1.456213474,1.461935282,1.584955335,1.521061182,0.986067295,1.008001089,1.033749461,1.030888557,1.0165838,1.007047415,0.987974584,0.915497661,0.884981096
Bradford East,729,560,557,489,555,554,760,714,475,775,560,578,583,114701,Imran Hussain,Labour,0.622488022,0.635565519,0.675669789,0.662592292,0.482994914,0.488225907,0.508278072,0.503918886,0.488225907,0.485610425,0.483866751,0.426325828,0.414120197
Bradford South,606,457,457,403,439,457,634,604,390,664,460,461,465,100790,Judith Cummins,Labour,0.599265814,0.601250112,0.658795536,0.629030645,0.453417987,0.453417987,0.461355299,0.457386643,0.456394494,0.453417987,0.435559094,0.399841249,0.386943161
Bradford West,1011,706,711,629,699,688,1063,994,618,1124,702,707,703,114972,Naz Shah,Labour,0.864558339,0.879344523,0.977629364,0.924572945,0.598406553,0.614062548,0.611453235,0.614932358,0.610583425,0.618411422,0.607974112,0.547089756,0.537522197
Braintree,1068,780,812,691,797,773,1111,1032,673,1161,812,817,802,97870,James Cleverly,Conservative,1.054460049,1.091243505,1.186267495,1.135179281,0.789823234,0.796975553,0.819454372,0.834780812,0.829672039,0.829672039,0.814345539,0.706038594,0.687646866
Brecon and Radnorshire,510,393,378,344,380,387,533,514,324,540,385,387,397,69252,Fay Jones,Conservative,0.742216825,0.736440837,0.779760897,0.769652843,0.558828652,0.567492664,0.573268652,0.558828652,0.555940628,0.545832634,0.548720598,0.496736556,0.467856526
Brent Central,3114,2236,2242,2118,2232,2262,3312,3072,2039,3362,2223,2248,2241,137290,Dawn Butler,Labour,2.237599134,2.268191338,2.448830843,2.41241169,1.647607207,1.628669262,1.632311225,1.637409806,1.61920023,1.633039594,1.625755668,1.542719841,1.485177398
Brent North,2897,1988,2039,1962,2037,2001,3003,2927,1899,3105,2052,2034,2002,128548,Barry Gardiner,Labour,2.276970387,2.253632784,2.415440083,2.336092472,1.556617022,1.546504021,1.557394862,1.582288384,1.596290827,1.586177945,1.584622145,1.526278138,1.477269173
Brentford and Isleworth,3990,2864,2944,2704,2898,2842,4163,3971,2675,4265,2936,2922,2901,128559,Ruth Cadbury,Labour,3.088854074,3.103633404,3.31754303,3.238201857,2.210658073,2.227770805,2.256551504,2.272886276,2.283776283,2.289999247,2.254217863,2.1033144,2.080756664
Brentwood and Ongar,1530,1135,1171,1108,1170,1117,1628,1552,1058,1692,1187,1161,1159,92961,Alex Burghart,Conservative,1.669517279,1.645851493,1.82011807,1.751272082,1.201579213,1.22094214,1.246759415,1.248910785,1.276879549,1.259667993,1.258592367,1.191897631,1.138111711
Bridgend,623,422,424,435,434,418,639,630,405,678,429,427,424,79861,Dr Jamie Wallis,Conservative,0.788870692,0.780105412,0.848975122,0.800140262,0.523409426,0.528418124,0.530922472,0.534678996,0.537183344,0.530922472,0.543444216,0.544696391,0.507131159
Bridgwater and West Somerset,738,524,525,480,512,522,766,758,444,792,514,529,515,106440,Mr Ian Liddell-Grainger,Conservative,0.712138295,0.693348348,0.744081199,0.719654262,0.490417123,0.492296129,0.483840674,0.496993601,0.482901156,0.493235618,0.481022179,0.450958282,0.417136401
Brigg and Goole,449,309,314,294,311,314,465,440,269,486,313,321,320,86694,Andrew Percy,Conservative,0.507532239,0.51791358,0.560592413,0.536369324,0.362193465,0.35642606,0.369114369,0.370267838,0.361039966,0.362193465,0.358733028,0.339123815,0.31028676
"Brighton, Kemptown",1509,1130,1276,1206,1266,1154,1582,1548,1137,1608,1266,1270,1269,91588,Lloyd Russell-Moyle,Labour (Co-op),1.690177798,1.647595763,1.755688548,1.727300525,1.259990335,1.233786106,1.385552645,1.386644483,1.382277131,1.393195629,1.382277131,1.316766381,1.241428971
"Brighton, Pavilion",2533,1953,1972,1797,1944,1972,2643,2514,1710,2691,1959,1987,1982,103532,Caroline Lucas,Green Party,2.428234816,2.446586609,2.599196434,2.552833796,1.904725075,1.886373281,1.914384007,1.919213414,1.892168641,1.904725075,1.877680302,1.735695243,1.651663303
Bristol East,1044,808,809,706,814,820,1103,1024,661,1124,823,828,827,95480,Kerry McCarthy,Labour,1.07247591,1.093422651,1.177209854,1.15521574,0.858818591,0.846250534,0.866149962,0.867197335,0.861960649,0.847297847,0.852534533,0.739421844,0.692291558
Bristol North West,1045,798,760,685,756,784,1077,1069,691,1125,759,775,796,100836,Darren Jones,Labour,1.060137272,1.036336184,1.115672946,1.068070889,0.777500093,0.791384041,0.789400637,0.768574715,0.752707362,0.753699064,0.749732256,0.679320872,0.685271144
Bristol South,1262,973,999,856,987,961,1312,1294,822,1342,998,998,990,107298,Karin Smyth,Labour,1.205987096,1.176163554,1.250722289,1.222762823,0.895636439,0.906820238,0.922663987,0.930119872,0.930119872,0.93105185,0.919868052,0.79777813,0.766090691
Bristol West,3284,2557,2590,2369,2594,2583,3403,3337,2313,3488,2589,2600,2623,124682,Thangam Debbonaire,Labour,2.676408768,2.633900642,2.797516823,2.729343414,2.071670294,2.050817251,2.103751898,2.085304976,2.076482534,2.077284575,2.080492735,1.900033712,1.855119467
Broadland,998,794,782,693,754,777,1038,1030,683,1075,791,801,802,95167,Jerome Mayhew,Conservative,1.082307935,1.048682809,1.129593253,1.090714216,0.816459477,0.83432281,0.842729092,0.841678321,0.83117044,0.821713388,0.792291462,0.728193581,0.717685759
Bromley and Chislehurst,1803,1306,1365,1256,1363,1302,1893,1785,1226,1966,1355,1350,1337,88621,Sir Robert Neill,Conservative,2.014195204,2.034506559,2.218435764,2.136062622,1.469177723,1.473691344,1.508671761,1.52334094,1.528982997,1.540266991,1.53801012,1.417271256,1.383419275
Bromsgrove,1976,1254,816,828,811,1374,1977,2060,806,2086,847,1090,1179,93646,Sajid Javid,Conservative,2.19977355,2.110074043,2.227537632,2.11114192,1.467227697,1.33908546,1.258996606,1.163957834,0.904470026,0.87136662,0.866027355,0.884180844,0.86068815
Broxbourne,1389,1052,997,913,976,1032,1441,1413,888,1488,1004,1012,1056,98699,Sir Charles Walker,Conservative,1.431625485,1.407309055,1.507614017,1.459994555,1.045603275,1.065866947,1.069919705,1.025339723,1.017234206,1.010141969,0.988865137,0.925034702,0.899705172
Broxtowe,818,656,650,573,661,639,877,748,544,903,645,649,648,95014,Darren Henry,Conservative,0.787252426,0.860925734,0.950386286,0.923021853,0.672532439,0.690424562,0.68200475,0.683057249,0.678847313,0.684109688,0.695686936,0.603069007,0.572547197
Buckingham,1753,1285,1358,1249,1348,1278,1818,1761,1227,1877,1334,1350,1344,97138,Greg Smith,Conservative,1.812884808,1.804649115,1.932302475,1.87156415,1.315654039,1.322860241,1.383598566,1.389775395,1.373304009,1.398011088,1.387716413,1.285799623,1.263151407
Burnley,561,409,430,355,415,412,597,544,341,597,429,428,420,86985,Antony Higginbotham,Conservative,0.625395179,0.644938767,0.686325252,0.686325252,0.473644882,0.470196009,0.482841879,0.492038846,0.493188471,0.494338095,0.477093756,0.408116341,0.392021626
Burton,958,803,829,605,672,796,1026,909,568,1045,820,829,827,102695,Kate Griffiths,Conservative,0.885145307,0.932859421,1.017576337,0.999074936,0.775110781,0.781927049,0.805297256,0.807244778,0.798480928,0.807244778,0.654364884,0.58912313,0.553094089
Bury North,960,732,774,727,784,726,1009,964,689,1033,754,753,744,87485,James Daly,Conservative,1.1019032,1.097330928,1.180773854,1.153340578,0.829856575,0.836714864,0.850431502,0.860718966,0.861862004,0.884723067,0.896153629,0.830999613,0.787563562
Bury South,1064,752,768,690,768,735,1098,1064,655,1159,766,781,780,97560,Christian Wakeford,Conservative,1.090610862,1.090610862,1.187986851,1.125461221,0.753382564,0.770807683,0.799507976,0.800532997,0.785157859,0.787207901,0.787207901,0.707257092,0.671381712
Bury St Edmunds,1146,875,864,755,845,886,1208,1161,736,1231,872,895,881,113671,Jo Churchill,Conservative,1.021368742,1.00817275,1.082949877,1.062716126,0.77944243,0.769765377,0.775043786,0.787360013,0.767126203,0.760088325,0.743373394,0.664197564,0.647482634
Caerphilly,655,412,466,422,455,412,680,662,424,702,436,439,450,86938,Wayne David,Labour,0.761462212,0.753410459,0.807471991,0.7821666,0.473900944,0.473900944,0.517610252,0.504957557,0.501506805,0.536014199,0.523361504,0.485403389,0.48770389
"Caithness, Sutherland and Easter Ross",356,273,263,236,269,262,352,369,221,376,261,265,267,62354,Jamie Stone,Liberal Democrat,0.591782391,0.5709337,0.603008628,0.56451869,0.420181543,0.437822759,0.428200275,0.42499277,0.41857779,0.421785295,0.431407779,0.37848413,0.354427934
Calder Valley,1032,771,815,696,789,781,1079,1014,665,1107,814,811,779,103184,Craig Whittaker,Conservative,0.982710481,1.000155091,1.07284081,1.045704722,0.756900311,0.747208893,0.754962027,0.785974562,0.788882017,0.789851129,0.764653444,0.674523175,0.644479752
Camberwell and Peckham,2888,2158,2191,2095,2197,2160,3007,2923,2014,3067,2186,2183,2183,125151,Ms Harriet Harman,Labour,2.33557868,2.307612419,2.450639725,2.402697563,1.725915074,1.724317074,1.744292855,1.744292855,1.746690035,1.750685215,1.755479336,1.673977852,1.609256029
Camborne and Redruth,663,495,497,470,498,496,692,662,453,721,495,499,507,85555,George Eustice,Conservative,0.773771286,0.774940073,0.842732728,0.808836401,0.579744041,0.578575194,0.59260124,0.583250523,0.578575194,0.580912888,0.582081676,0.549354196,0.529483974
Cambridge,2405,1816,1837,1666,1820,1809,2522,2442,1626,2520,1841,1841,1853,114697,Daniel Zeichner,Labour,2.129087925,2.096828938,2.197093248,2.198837042,1.577199101,1.58330214,1.615561008,1.605098605,1.605098605,1.601611257,1.586789489,1.452522755,1.417648196
Cannock Chase,688,525,514,459,510,516,704,679,447,738,524,509,535,97477,Amanda Milling,Conservative,0.696574569,0.705807507,0.757101655,0.722221673,0.529355645,0.538588583,0.548847437,0.522174478,0.537562728,0.527303874,0.523200333,0.4708803,0.458569705
Canterbury,1345,1017,1045,913,1029,1019,1413,1379,866,1444,1025,1027,1033,109253,Rosie Duffield,Labour,1.262207866,1.231087446,1.321702838,1.293328285,0.932697475,0.930866897,0.945511818,0.940019965,0.938189328,0.956495464,0.941850543,0.835675001,0.792655587
Cardiff Central,1095,822,803,742,791,818,1149,1094,704,1176,809,819,825,88104,Jo Stevens,Labour,1.241714358,1.24284935,1.334786177,1.304140568,0.9284482,0.932988286,0.93639338,0.929583192,0.918232977,0.911422849,0.897802591,0.842186511,0.799055636
Cardiff North,927,687,717,630,712,680,976,963,603,1003,724,730,693,88080,Anna McMorrin,Labour,1.093324304,1.052452326,1.138737559,1.108083606,0.772025406,0.779972732,0.786784768,0.828792036,0.82198,0.814032674,0.808356047,0.715258837,0.684604883
Cardiff South and Penarth,1635,1289,1322,1285,1368,1276,1718,1639,1277,1763,1294,1292,1298,107387,Stephen Doughty,Labour (Co-op),1.526255488,1.522530675,1.641725779,1.59982121,1.188225746,1.200331569,1.208712459,1.203125119,1.204987526,1.231061459,1.273897171,1.196606636,1.189157009
Cardiff West,875,708,619,602,638,685,913,884,581,940,639,642,644,91126,Kevin Brennan,Labour,0.970085382,0.960208952,1.031538725,1.001909494,0.751706421,0.776946187,0.706713796,0.704519033,0.70122689,0.679279268,0.700129509,0.660623729,0.637578726
Carlisle,434,319,308,286,304,310,457,441,279,473,315,320,324,85996,John Stevenson,Conservative,0.512814522,0.504674613,0.550025582,0.531420052,0.360481888,0.37094748,0.376761705,0.372110337,0.366296113,0.358156204,0.353504807,0.332573622,0.324433684
Carmarthen East and Dinefwr,437,310,311,293,310,315,445,450,276,472,305,304,301,70977,Jonathan Edwards,Independent,0.634008229,0.615692437,0.665004134,0.626963675,0.443805754,0.4367612,0.424081028,0.428307772,0.429716676,0.438170105,0.4367612,0.412809789,0.388858348
Carmarthen West and South Pembrokeshire,517,398,412,379,411,392,545,500,364,552,413,416,416,77399,Simon Hart,Conservative,0.646003187,0.66796726,0.713187516,0.704143465,0.506466508,0.514218509,0.537474632,0.537474632,0.533598602,0.532306612,0.531014621,0.489670396,0.470290303
Carshalton and Wallington,1474,1084,1142,1067,1152,1068,1542,1509,1012,1589,1116,1139,1117,95272,Elliot Colburn,Conservative,1.583886147,1.547149181,1.667856216,1.618523836,1.121000886,1.137794971,1.172432661,1.195524335,1.171383023,1.198673248,1.209169507,1.119951248,1.062221885
Castle Point,731,524,549,508,550,524,770,736,483,816,536,542,540,87920,Rebecca Harris,Conservative,0.837124646,0.831437647,0.928116441,0.875796199,0.59599638,0.59599638,0.614194751,0.616469502,0.609645128,0.624431312,0.625568688,0.577798009,0.549363077
